"Company","Exchange","Ticker","Industry","Year Founded","Locations","Nb of Employees","Credit Rating FCLT","Credit Rating LCLT","Type","NOSH","Price (USD)","TEV (USDmm)","Total Revenue (USDmm)","Gross Profit (USDmm)","EBITDA (USDmm)","EBIT (USDmm)","Net Income (USDmm)","Cash And Equivalents (USDmm)","Net PP&E (USDmm)","Total Assets (USDmm)","Total Debt (USDmm)","Total Equity (USDmm)","Basic EPS (USD)","EPS Est (USD)","Nb EPS Est","EBITDA Est (USDmm)","Nb EBITDA Est","EBIT Est (USDmm)","Nb EBIT Est"
"Yankuang Energy Group Company Limited ","SEHK","1171","Energy",1973,"APAC",61864,"BB","BB","Public Company",4948.7,4.03,42891.8,23925.8,8360.4,7514.1,5842.6,3262.7,7173.8,16257.5,45445.3,16177.6,15188.6,0.67,0.888,4,7736.3,9,6872.08,6
"Telstra Corporation Limited ","ASX","TLS","Communication Services",1901,"APAC",28889,"A-","A-","Public Company",11544.3,2.81,42853.4,14659.6,6553.7,3756.4,1725.2,1163,716.5,16129.9,28681.3,10041.3,11600.5,0.099,0.118,10,5474.3,11,2304.33,11
"International Flavors & Fragrances Inc. ","NYSE","IFF","Materials",1833,"US/CA",24000,"BBB","BBB","Public Company",254.9,119.06,42766,11656,4725,3004,1808,635,711,5156,39658,12199,21222,2.49,5.66,19,2608,17,1484.61,7
"Dollar Tree, Inc. ","NasdaqGS","DLTR","Consumer Discretionary",1986,"US/CA",136226,"BBB","BBB","Public Company",223.9,149.01,42667,26321.2,8385.7,2913.7,2164.1,1567.3,984.9,10902.6,21721.8,9970.3,7718.5,6.97,7.6,21,2970.3,14,2300.66,18
"Lonza Group AG ","SWX","LONN","Health Care",1897,"EU",17154,"BBB+","BBB+","Public Company",74.2,571.64,42453.8,5933.5,2369.9,1359.3,933.1,3264.3,1735.4,5149.1,18054.9,3029.8,10775.4,44,17.1,16,2192.9,17,1593.69,16
"Waste Connections, Inc. ","NYSE","WCN","Industrials",1997,"US/CA",19998,"BBB+","BBB+","Public Company",257.1,142.39,42227.1,6151.4,2679.8,2061.3,1195.9,685.1,147.4,5882.5,14699.9,5282,6993.5,2.65,4.07,16,2320.1,15,1351.91,8
"VERBUND AG ","WBAG","VER","Utilities",1947,"EU",3625,"A","A","Public Company",347.4,112.92,42206.5,5444.6,2810.1,2393.4,1949.5,1428.1,362.3,12255.1,19460.4,3863.1,7236.4,4.11,6.46,5,3772,3,3307.4,3
"Agilent Technologies, Inc. ","NYSE","A","Health Care",1999,"US/CA",17000,"BBB+","BBB+","Public Company",296,136.01,42094,6319,3610,1927,1599,1328,1484,1123,10705,2911,5389,4.42,5.35,16,2044.7,10,1906.97,11
"Loblaw Companies Limited ","TSX","L","Consumer Staples",1919,"US/CA",220000,"BBB","BBB","Public Company",327.3,91.84,42018.5,42015.3,13142.7,3431,2374.7,1540.5,1561.5,9974,28932.7,13081.1,9274.7,4.59,5.37,10,4778.2,8,3086.43,4
"LyondellBasell Industries N.V. ","NYSE","LYB","Materials",2009,"US/CA",19100,"BBB","BBB","Public Company",326.2,90.72,41860.4,46173,9079,8736,7569,5445,1472,16502,36742,13882,11988,16.4,15.3,21,7819.2,19,6271.22,11
"Carrier Global Corporation ","NYSE","CARR","Industrials",2019,"US/CA",58000,"BBB","BBB","Public Company",841.6,41.99,41674.1,20613,5731,2902,2577,2745,2987,2466,26172,10353,7094,3.2,2.38,23,3218.1,14,2929.97,19
"Haleon plc ","LSE","HLN","Consumer Staples",2021,"EU",22800,"BBB","BBB","Public Company",9234.6,3.11,41362.2,12924.5,8156.5,2746.7,2523.9,1971.8,560.6,2250.4,46648.7,1343.2,35855.5,0.213,0.217,13,3225.7,12,2865.9,12
"LG Chem, Ltd. ","KOSE","A051910","Materials",1947,"APAC",1320,"BBB+","BBB+","Public Company",77.9,461.38,41339.3,35809.4,7672.5,5029.5,2608,1713.7,3157.3,20466,42929,12396.1,19485.2,18.4,35.5,24,6052,24,3017,24
"Trane Technologies plc ","NYSE","TT","Industrials",1885,"EU",37000,"BBB","BBB","Public Company",231.7,161.23,41121.9,14136.4,4565.6,2407.6,2147.6,1493,2159.2,1835.6,18059.8,5285.4,6273.1,6.33,7.53,22,2746.1,15,2421.61,19
"Sumitomo Corporation ","TSE","8053","Industrials",1919,"APAC",74920,"BBB+","BBB+","Public Company",1250.2,14.44,40768.8,45251,7872.8,3265.6,2455.9,3765,6043,8430.4,78908.4,28865.2,27844.6,3.01,2.08,10,2818.1,5,1565.76,1
"Veolia Environnement S.A. ","ENXTPA","VIE","Utilities",1853,"EU",179718,"BBB","BBB","Public Company",687.9,22.93,40380.8,32421.4,6022.7,3784.1,2060.9,355.2,11962.6,11673.3,60363.1,23925.2,14522.9,0.544,1.74,10,6347.3,6,3100.58,6
"Universal Music Group N.V. ","ENXTAM","UMG","Communication Services",2020,"EU",9360,"BBB","BBB","Public Company",1812.9,20.63,40125.8,9671.3,4430.3,1829.4,1561.8,705.6,665.3,631.2,13754.1,3521,2308.7,0.389,0.835,17,2238.6,18,1912.76,18
"S.F. Holding Co., Ltd. ","SZSE","002352","Industrials",1993,"APAC",177129,"A-","A-","Public Company",4895.2,7.21,40042.8,32614.5,4783.4,2233.9,1413.9,990.6,5559.1,9884.8,33041.6,9573.2,15413.4,0.211,0.235,13,3468.4,15,1734.37,19
"Alexandria Real Estate Equities, Inc. ","NYSE","ARE","Real Estate",1993,"US/CA",559,"BBB+","BBB+","Public Investment Firm",163.2,161.95,40011.6,2126.4,1670.7,1446.7,574,300.7,361.3,24158.8,30219.4,9226.6,19033.3,1.88,3.11,6,1806.1,6,822.32,5
"American Water Works Company, Inc. ","NYSE","AWK","Utilities",1886,"US/CA",6400,"A","A","Public Company",181.8,155.32,39847.1,3930,2155,1930,1288,1299,116,21176,26075,11077,7298,7.12,3.85,14,2350.7,10,1543.12,10
"BT Group plc ","LSE","BT.A","Communication Services",2001,"EU",98400,"BBB","BBB","Public Company",9834.5,1.8,39673.4,27407.5,10379.7,7508.1,3725.6,2058.4,1021.4,32899.5,65428.4,28846.9,20106.7,0.209,0.246,19,9367.1,19,3968.88,18
"Ameren Corporation ","NYSE","AEE","Utilities",1881,"US/CA",9116,"BBB+","BBB+","Public Company",258.4,96.32,39619.3,6119,3099,2761,1532,1009,8,29261,35735,13612,9829,3.92,4.23,16,2817,4,1590.87,9
"Lumen Technologies, Inc. ","NYSE","LUMN","Communication Services",1968,"US/CA",35000,"BB","BB","Public Company",1035.3,11.05,39601.5,19687,10742,7419,3977,1995,354,22346,57993,30538,11840,1.95,1.08,9,5974.9,11,2576.96,9
"Mitsubishi Estate Co., Ltd. ","TSE","8802","Real Estate",1890,"APAC",10202,"A+","A+","Public Company",1322.8,13.91,39478.8,11112.9,2910.4,2905.6,2207.2,1339.4,1919.7,35788.9,53476.9,22538,18416.8,1.01,0.912,13,2802.4,5,2057.08,13
"Sika AG ","SWX","SIKA","Materials",1910,"EU",27415,"A-","A-","Public Company",153.7,237.91,39473.4,10149.4,5247.5,1770.9,1473,1206.7,1288.9,1948.9,11737.4,4078.9,4822.1,8.22,9.27,14,2421.1,13,1939.28,13
"Fortinet, Inc. ","NasdaqGS","FTNT","Information Technology",2000,"US/CA",11508,"BBB+","BBB+","Public Company",788.5,50.87,39359.9,3342.2,2871.6,821.8,723,674,1319.1,752.7,5919.1,1055.2,798.4,0.834,1.18,25,1350.9,8,1248.6,22
"Oil and Natural Gas Corporation Limited ","NSEI","ONGC","Energy",1993,"APAC",27165,"BBB-","BBB-","Public Company",12580.3,1.71,39183.1,64734.6,14316.3,10999.2,7584.6,6514.1,718.1,41329.1,77144.7,17080.8,37334.1,0.518,0.622,15,12129.1,16,7481.18,12
"DSV A/S ","CPSE","DSV","Industrials",1976,"EU",76071,"A-","A-","Public Company",225.6,155.54,38822.9,27884.9,6826.6,3604.4,3401.4,2217.2,1269.4,3054.7,24686.4,5621.6,11361.3,9.55,8.64,15,3293.7,16,2660.29,15
"Singapore Telecommunications Limited ","SGX","Z74","Communication Services",1992,"APAC",22543,"A","A","Public Company",16509.6,1.91,38496.2,11329.4,2597.8,2419.1,767.8,1532.1,1573.3,10525.3,36288,8766.1,20761.4,0.093,0.113,10,2870.1,10,904.06,14
"Brown-Forman Corporation ","NYSE","BF.B","Consumer Staples",1870,"US/CA",5200,"A-","A-","Public Company",479.1,77.56,38233.8,3933,2391,1315,1236,838,868,949,6373,2344,2737,1.75,1.97,16,1384.3,11,1297.09,14
"Equity Residential ","NYSE","EQR","Real Estate",1966,"US/CA",2400,"A-","A-","Public Investment Firm",376.1,77.7,38109.3,2464,1635.1,1575,683.6,1253.8,123.8,20330.3,21169.2,8653.8,11686.2,3.33,1.36,11,1749.9,13,857.15,7
"PACCAR Inc ","NasdaqGS","PCAR","Industrials",1905,"US/CA",28500,"A+","A+","Public Company",347.7,92.45,38062.9,23522.3,3614.6,3096.8,2808.8,2206.7,3253.6,3731.2,29301.7,10523.2,11437.4,6.34,7.92,16,3309.9,5,2989.64,6
"PPG Industries, Inc. ","NYSE","PPG","Materials",1883,"US/CA",49300,"BBB+","BBB+","Public Company",235,132.16,38013.3,16802,6525,2142,1561,1089,1005,4333,21351,7466,6411,4.59,7.54,21,2856.3,18,2310.17,19
"AvalonBay Communities, Inc. ","NYSE","AVB","Real Estate",1978,"US/CA",2883,"A-","A-","Public Investment Firm",139.7,213.39,37800.9,2310.1,1571.5,1498.9,707,814.9,420.3,18545,19902,8270,10936.5,5.83,5.45,8,1694.6,12,870.66,8
"WuXi AppTec Co., Ltd. ","SHSE","603259","Health Care",2000,"APAC",39716,"BBB-","BBB-","Public Company",2957.2,13.07,37701.8,3605.2,1616.1,1099.7,922.1,1053.5,1296.9,2538.9,8677.9,674.4,6101,0.361,0.334,17,1779,13,1482.54,13
"Newmont Corporation ","NYSE","NEM","Materials",1916,"US/CA",14400,"BBB+","BBB+","Public Company",793.7,45.14,37597.7,12222,4527,4039,1576,792,4992,24124,40564,6302,21861,0.996,2.8,21,5728.3,16,2166.75,5
"Albemarle Corporation ","NYSE","ALB","Materials",1887,"US/CA",6000,"BBB","BBB","Public Company",117.1,295.68,37512.4,3328,1526.3,1349.6,1081.8,263.6,439.3,6064.4,10974.1,2552.8,5805.6,2.25,26,20,4175.7,17,3793.62,12
"Alcon Inc. ","SWX","ALC","Health Care",1945,"EU",24000,"BBB","BBB","Public Company",491.6,69.4,37435,8291,4871,2169,987,457,1575,4083,27999,4486,19256,0.931,2.27,19,2328.1,15,1611.44,17
"Grupo México, S.A.B. de C.V. ","BMV","GMEXICO B","Materials",1890,"LATAM",30015,"BBB+","BBB+","Public Company",7785,4.03,37270.3,14776.7,8419.3,8083.7,7036.3,3458.8,5931.4,17410.9,32444.5,9076.6,18374.5,0.447,0.34,6,6699.1,8,5063.9,8
"Power Grid Corporation of India Limited ","BSE","532898","Utilities",1989,"APAC",8536,"BBB-","BBB-","Public Company",6975.5,2.88,36781.6,5483.8,5248.6,4724.4,3072,1851.1,339.6,26729.3,33066.8,18208.4,10047.1,0.265,0.253,12,4818.6,12,2982.82,7
"Barrick Gold Corporation ","TSX","ABX","Materials",1983,"US/CA",17500,"BBB+","BBB+","Public Company",1770.4,16.34,36687,11985,4626,6194,4118,1999,5280,24954,46890,5473,32307,1.12,1.08,23,6780.7,17,5843.6,5
"Capgemini SE ","ENXTPA","CAP","Information Technology",1967,"EU",352148,"BBB","BBB","Public Company",172,181.83,36623.2,20652.8,5531,2777.5,2378.2,1443.7,3558.5,1936.8,27332,8694.4,9642.9,8.51,11.3,15,3187.2,5,2940.99,7
"Swisscom AG ","SWX","SCMN","Communication Services",1998,"EU",19067,"A","A","Public Company",51.8,528.91,36521.6,12267.3,6330.6,3800.5,2078.8,1645.2,439.9,13361,27205.7,9282.5,11861.4,31.8,29.9,10,4545.8,17,2063.03,16
"Corning Incorporated ","NYSE","GLW","Information Technology",1851,"US/CA",61200,"BBB+","BBB+","Public Company",845.3,35.85,36495.7,14082,5201,3752,2254,2002,2148,16545,30154,7829,12545,2.36,2.27,14,4179.4,8,2721.16,10
"Nasdaq, Inc. ","NasdaqGS","NDAQ","Financials",1971,"US/CA",6214,"BBB+","BBB+","Public Company",163.7,187.19,36433.9,5886,3508,1918,1639,1138,393,875,20115,6253,6405,6.86,8.06,14,2023.1,12,1897.99,11
"Givaudan SA ","SWX","GIVN","Materials",1796,"EU",16815,"A-","A-","Public Company",9.23,3363.23,36342.8,7332.1,2967.9,1463,1159.3,816.9,299.5,2513.1,12527.3,5119.5,4323.1,88.6,107.5,19,1651.1,20,1274.39,18
"Marubeni Corporation ","TSE","8002","Industrials",1858,"APAC",42882,"BBB+","BBB+","Public Company",1715.2,10.52,36331.8,70067.6,7450.8,3412.9,2783.8,3781.1,4765,7862.2,67984.1,22048.8,19256,2.17,1.72,10,2174.6,2,1061.6,4
"Unibail-Rodamco-Westfield ","ENXTAM","URW","Real Estate",1968,"EU",2724,"BBB+","BBB+","Public Investment Firm",138.8,53.73,36262.2,2216.8,1603.5,1461.8,1375.9,51.9,2565.8,45654.3,62458.1,32071.8,25444.9,0.374,8.46,11,1785.5,10,1736.52,9
"CNH Industrial N.V. ","NYSE","CNHI","Industrials",1842,"EU",71895,"BBB","BBB","Public Company",1349.8,13.02,36242.7,33428,6447,3536,2663,1506,5190,5168,49416,24202,6853,1.11,1.45,10,2845,9,2371.24,11
"Halliburton Company ","NYSE","HAL","Energy",1919,"US/CA",40000,"BBB+","BBB+","Public Company",906.9,31.87,36234.3,15295,2413,3043,2118,1432,3044,5345,22321,10330,6728,1.59,2.44,25,4397.8,22,3425.62,20
"Infineon Technologies AG ","XTRA","IFX","Information Technology",1999,"EU",54946,"BBB","BBB","Public Company",1301.9,25.61,36200.6,12818.7,5797.6,4383.2,2833,1994.6,2027.1,4791.4,27044.5,8015.8,13214,1.51,2.16,20,4725.2,16,2890.64,12
"Tyson Foods, Inc. ","NYSE","TSN","Consumer Staples",1935,"US/CA",137000,"BBB+","BBB+","Public Company",359.6,80.04,36087.6,47049,8119,7099,5914,4055,2507,8368,36309,9871,17854,11.2,7.37,12,5025.5,10,3707.32,11
"George Weston Limited ","TSX","WN","Consumer Staples",1882,"US/CA",215298,"BBB","BBB","Public Company",144.6,120.31,36003.2,42472.1,13575.5,4159.5,3053.4,1058.6,2358,11727.5,37205.4,15406.7,10381,6.97,7.63,7,5080.5,6,3446.31,3
"BAE Systems plc ","LSE","BA.","Industrials",1970,"EU",91400,"BBB+","BBB+","Public Company",3128.7,9.57,35964,26432.6,15222.1,2591.9,2101,1668.4,3949.8,5339.1,36742.4,8827.1,10382.9,0.53,0.646,12,3750.3,11,2944.19,10
"AmerisourceBergen Corporation ","NYSE","ABC","Health Care",2001,"US/CA",40000,"BBB+","BBB+","Public Company",207.3,150.42,35792.5,213988.8,8384.6,3580.1,2882.4,1841.8,2547.1,3230.1,57337.8,7805.4,584.4,8.83,11.3,14,3534.8,6,3204.77,10
"Deutsche Börse AG ","XTRA","DB1","Financials",1585,"EU",10620,"AA","AA","Public Company",183.6,171.17,35744.8,4962.4,3928.2,2036.3,1873.3,1404.3,1170.9,665.5,253519,7192.2,8805.2,7.65,8.27,9,2504.9,14,2154.45,13
"PPL Corporation ","NYSE","PPL","Utilities",1920,"US/CA",5607,"A-","A-","Public Company",736.2,30.34,35716.8,5783,2778,2585,1465,733,3571,25532,33223,11358,13723,0.982,1.53,15,3092.9,6,1877.8,7
"Extra Space Storage Inc. ","NYSE","EXR","Real Estate",1977,"US/CA",4309,"BBB","BBB","Public Investment Firm",133.9,210.74,35447.7,1609.7,1387.1,1252.5,994.3,892.4,71.1,9042.9,10474.5,6355.2,3786,6.65,6.3,5,1492.4,5,1213.22,3
"Tesco PLC ","LSE","TSCO","Consumer Staples",1919,"EU",345000,"BBB-","BBB-","Public Company",7428.7,3.03,35420.9,82263.6,5679.2,5187.1,3883.6,1986.1,3144.7,30533.7,66180.8,20594.1,20978.9,0.259,0.249,10,5250.7,10,3165.15,11
"Electronic Arts Inc. ","NasdaqGS","EA","Communication Services",1982,"US/CA",12900,"BBB+","BBB+","Public Company",278,127.61,35309.4,6991,5360,1762,1303,896,2732,864,13800,2231,7625,3.17,7.55,29,3111.3,17,2710.47,25
"Cummins Inc. ","NYSE","CMI","Industrials",1919,"US/CA",59900,"A+","A+","Public Company",141,228.97,35176,24021,5989,3111,2461,2048,2592,4866,23710,4632,9401,14.4,20.2,7,4487,6,3799.15,6
"CRH plc ","LSE","CRH","Materials",1936,"EU",77400,"BBB+","BBB+","Public Company",755.4,38.25,35062.7,30981,10488,5062,3575,2565,5783,19502,44670,12172,20914,3.29,3.22,5,5429.1,16,3702.85,15
"CenterPoint Energy, Inc. ","NYSE","CNP","Utilities",1866,"US/CA",9418,"BBB+","BBB+","Public Company",629.5,32.37,34947,8352,3357,2563,1449,1593,230,23506,37679,16140,9415,2.46,1.24,17,3108.6,12,1632.29,11
"ON Semiconductor Corporation ","NasdaqGS","ON","Information Technology",1992,"US/CA",31650,"BB+","BB+","Public Company",433.2,76.71,34921.5,6739.8,3551.4,2814.8,2245.6,1721.6,1352.6,2716.7,9626,3272.4,4604.4,3.98,4.98,26,3308.1,11,2737.44,23
"Imperial Oil Limited ","TSX","IMO","Energy",1880,"US/CA",5400,"AA-","AA-","Public Company",636.7,51.23,34552.2,29639.1,7561.8,6884.8,5402,4117.1,1701.3,24879.7,32226.3,4286.9,17175.2,6.05,9.29,7,7789,6,7026.6,4
"Daimler Truck Holding AG ","XTRA","DTG","Industrials",1896,"EU",103386,"BBB+","BBB+","Public Company",823,25.38,34262,45222.3,8267.8,3237.5,2411.7,1558.6,8238.4,12293.9,62322.3,18877.5,18677.4,1.89,3.2,4,5013,10,3934.5,10
"Aeon Co., Ltd. ","TSE","8267","Consumer Staples",1758,"APAC",155465,"BBB","BBB","Public Company",847,20.22,34133,75610.8,24505.2,3911.9,1395.7,162.3,10169.4,27160.4,100916.8,28758.1,15722.7,0.192,0.259,8,3973.3,7,1661.36,8
"Restaurant Brands International Inc. ","NYSE","QSR","Consumer Discretionary",1954,"US/CA",5700,"BB","BB","Public Company",306.1,60.74,33962.9,5739,2536,2195,1997,819,1087,3165,23246,14775,3853,2.64,3.1,26,2498.7,21,2175.22,19
"Verisk Analytics, Inc. ","NasdaqGS","VRSK","Industrials",1971,"US/CA",9367,"BBB","BBB","Public Company",157,195.31,33935.8,2998.6,1989.7,1403.9,1171.3,1047,280.3,397.4,7808.1,3610,2842.5,6.53,6,15,1553.3,14,1170.01,5
"Inner Mongolia Yili Industrial Group Co., Ltd. ","SHSE","600887","Consumer Staples",1956,"APAC",61598,"A-","A-","Public Company",6400.1,5.28,33860.9,17409.4,5651.3,2064.9,1549.2,1481.6,4996.8,5605.5,16050.5,3535.9,7680.5,0.241,0.254,26,2355,20,1865.58,25
"Nippon Steel Corporation ","TSE","5401","Materials",1950,"APAC",106528,"BBB","BBB","Public Company",920.9,15.9,33633.7,56070.7,9655.7,8186.2,5742.3,5196.6,4537.8,25781.9,72074.9,21850.5,32091.6,5.64,2.46,6,6490.2,7,2469.37,7
"MTR Corporation Limited ","SEHK","66","Industrials",1975,"APAC",32077,"AA+","AA+","Public Company",6199.2,5.14,33601.2,6053.3,1173.1,3035.3,2396.2,1479.6,1378.9,14457,37457.3,5629.7,23088.4,0.239,0.244,9,1672.5,6,1665.95,4
"Kellogg Company ","NYSE","K","Consumer Staples",1906,"US/CA",31000,"BBB","BBB","Public Company",340.1,75.84,33594.2,14181,4513,2450,1977,1488,286,4467,18178,7747,4215,4.37,4.16,18,2375.8,13,1870.15,15
"Ross Stores, Inc. ","NasdaqGS","ROST","Consumer Discretionary",1957,"US/CA",100000,"BBB+","BBB+","Public Company",349.9,90.91,33535.6,18916.2,5697,2373.2,1997.5,1474.8,4922.4,5925.8,13640.3,5622.1,4060.1,4.24,4.37,16,2408.9,16,2000.33,17
"CMS Energy Corporation ","NYSE","CMS","Utilities",1987,"US/CA",8507,"BBB+","BBB+","Public Company",290.2,69.64,33379.2,7329,2676,2324,1340,1329,452,22378,28753,12500,7188,4.56,2.93,19,2571,13,1417.18,10
"Endesa, S.A. ","BME","ELE","Utilities",1944,"EU",9215,"BBB+","BBB+","Public Company",1058.6,18.05,33278.9,23344.7,6438.4,3896.1,2478.6,1587.9,799.5,25130.2,45454.3,11818.5,6305,1.5,1.7,14,4267.3,17,2615.52,15
"Japan Tobacco Inc. ","TSE","2914","Consumer Staples",1898,"APAC",55381,"A+","A+","Public Company",1774.9,17.29,33200.1,20191.8,10580.8,5431.6,4015.9,2777,6268.4,6564.7,50150.3,7978.4,25066.3,1.56,1.57,13,5495.3,12,4210.93,12
"adidas AG ","XTRA","ADS","Consumer Discretionary",1920,"EU",60661,"A+","A+","Public Company",181.9,157.46,33140.7,24148.8,11357.9,2267.4,1639.1,2024.9,4353.5,5487.3,25175.7,6062.8,8912.8,10.7,7.84,26,3256.1,18,1841.77,1
"Viatris Inc. ","NasdaqGS","VTRS","Health Care",1961,"US/CA",37000,"BBB-","BBB-","Public Company",1212.6,10.17,32850.3,17886.3,7505.7,5242.1,3309.7,760.8,701.2,3479.4,54842.8,23358,20492.7,0.629,3.34,11,5788.7,9,5385.51,9
"Imperial Brands PLC ","LSE","IMB","Consumer Staples",1901,"EU",30300,"BBB","BBB","Public Company",950.4,22.2,32810.3,22361.4,7772.7,4880.8,4109.2,2659.3,1737.7,2642.3,39276.3,13644.8,8020,2.81,3.18,16,4699.3,14,4315.89,14
"United Rentals, Inc. ","NYSE","URI","Industrials",1997,"US/CA",20400,"BB+","BB+","Public Company",70,319.57,32751.2,9716,4434,3120,2741,1750,144,1396,20292,10508,5991,24.3,33,18,5634.6,15,3241.17,11
"SSE plc ","LSE","SSE","Utilities",1989,"EU",10152,"BBB+","BBB+","Public Company",1060,21.54,32741.2,11315.6,5777.5,5194.2,4378.1,3984.8,1379.3,19216.4,33863.6,12412.7,12059,3.78,1.45,13,3051.4,13,2204.01,12
"Rockwell Automation, Inc. ","NYSE","ROK","Industrials",1903,"US/CA",24500,"A","A","Public Company",115.4,246.86,32734.1,6997.4,2935,1369.9,1149.5,671.8,662.2,959.6,10701.6,4393.3,2694.1,5.77,10.9,25,1847.4,15,1578.47,12
"Fomento Económico Mexicano, S.A.B. de C.V. ","BMV","FEMSA UBD","Consumer Staples",1890,"LATAM",330394,"A-","A-","Public Company",3578.2,6.57,32635.8,27134,11406.7,3671.5,2691.8,1491.1,4751.4,8396.9,35974.7,12338.2,16346.8,0.417,0.478,8,4636.6,13,3154.68,11
"Centrais Elétricas Brasileiras S.A. - Eletrobrás ","BOVESPA","ELET6","Utilities",1962,"LATAM",12126,"BB-","BB-","Public Company",2928.9,9.36,32457.9,6751.3,5845.7,5344.1,4891,1421,34.6,5988.8,33796.3,8280.3,13715.2,0.906,0.495,3,3260.1,7,2664.41,6
"W.W. Grainger, Inc. ","NYSE","GWW","Industrials",1927,"US/CA",23450,"A+","A+","Public Company",50.9,583.28,32373.2,13022,5327,2145,1945,1317,241,1817,6592,2762,2160,25.6,28.5,15,2293.5,10,2153.72,13
"Ventas, Inc. ","NYSE","VTR","Real Estate",1983,"US/CA",434,"BBB+","BBB+","Public Investment Firm",399.7,49.03,32366.6,3818.2,1792.6,1581.1,602.3,16.1,149.7,21364.2,24717.8,12224.8,11226,0.041,0.192,7,1766,13,555.33,5
"STMicroelectronics N.V. ","ENXTPA","STM","Information Technology",1987,"EU",48254,"BBB","BBB","Public Company",906.2,36.4,32324.8,12761,6407,4443,3339,2838,3225,5660,15540,2742,9273,3.13,3.7,18,5488.5,16,4092.38,18
"Pembina Pipeline Corporation ","TSX","PPL","Energy",1954,"US/CA",2349,"BBB","BBB","Public Company",555,37.94,32113.7,6817.1,2116.4,2299.6,1799.6,1216.6,34,14835.4,24856.8,9452.5,11349.8,2.02,2.14,11,2833.2,16,2256.5,3
"CDW Corporation ","NasdaqGS","CDW","Information Technology",1984,"US/CA",12850,"BBB-","BBB-","Public Company",135.2,187.9,32089.9,20820.8,4162.8,1864.3,1622.4,1011.4,258.1,351.4,13199.4,7522.7,705.7,7.45,10.1,10,2250.9,7,2086.02,9
"Continental Resources, Inc. ","NYSE","CLR","Energy",1967,"US/CA",1254,"BBB-","BBB-","Public Company",357.6,71.49,31714.5,5443.8,6463.6,6043.7,4167.8,2918.5,20.9,16991.8,18591.1,6844.4,7856.3,8.13,12.6,24,8260,17,5938,13
"AMETEK, Inc. ","NYSE","AME","Industrials",1930,"US/CA",18500,"BBB+","BBB+","Public Company",229.6,127.31,31555.7,5546.5,2048.7,1723,1415.4,1094,346.8,787.1,11898.2,2720.7,6871.9,4.74,5.68,15,1853.7,10,1531.88,15
"D.R. Horton, Inc. ","NYSE","DHI","Consumer Discretionary",1978,"US/CA",11788,"BBB","BBB","Public Company",347.5,76.61,31544.2,27774.2,9580.8,7385.2,7314.7,5564.7,3131.4,425,24015.9,5451.1,15216.2,15.7,14.8,15,7175.7,7,5690.6,4
"JBS S.A. ","BOVESPA","JBSS3","Consumer Staples",1953,"LATAM",250000,"BBB-","BBB-","Public Company",2218.1,6,31383.9,62942.3,13600.4,8875.5,7539.5,4426,4170.9,12046.6,37171.6,18585.1,8578.5,1.88,1.16,8,7377.8,9,5301.75,8
"Biogen Inc. ","NasdaqGS","BIIB","Health Care",1978,"US/CA",9610,"BBB+","BBB+","Public Company",145.1,204.83,31365,10981.7,8223.8,3500.2,2954.4,2059.2,2261.4,3791.8,23877.3,7692.6,10959.7,14,15.7,28,3593,5,2846.37,18
"Keysight Technologies, Inc. ","NYSE","KEYS","Information Technology",1939,"US/CA",14300,"BBB","BBB","Public Company",179.9,172.61,31237.5,4941,3377,1538,1313,1107,2052,877,7781,2023,3784,6.08,7.83,11,1757.2,7,1633.53,8
"Chunghwa Telecom Co., Ltd. ","TWSE","2412","Communication Services",1996,"APAC",20341,"AA","AA","Public Company",7757.4,4.03,31140.8,7594.9,2631.7,2731.8,1566.3,1234,1435.4,10830.7,18513.7,1404.2,14118.4,0.159,0.159,8,2950.7,5,1589.08,8
"Carrefour SA ","ENXTPA","CA","Consumer Staples",1959,"EU",319565,"BBB","BBB","Public Company",730.6,17,31041.1,84248.8,15712.9,3858.5,2448.3,1103.9,4211.3,17152.3,54211.3,18049.6,13453.9,1.45,1.63,12,5050.7,12,2615.71,13
"Xiaomi Corporation ","SEHK","1810","Information Technology",2010,"APAC",32869,"BBB-","BBB-","Public Company",24856,1.5,31038,51681.1,7975.4,2059.1,1693.9,608.5,3701.1,2559,46105.8,4829.6,21634.1,0.024,0.077,17,2180.3,15,2007.92,22
"DISH Network Corporation ","NasdaqGS","DISH","Communication Services",1980,"US/CA",14500,"B-","B-","Public Company",530.3,18.56,31012.1,17881.1,5822.7,3367.7,2675,2064.9,2428.2,4751.2,48001.7,22946.2,15923.1,3.9,2.27,7,2856.4,13,2401.18,14
"HCL Technologies Limited ","NSEI","HCLTECH","Information Technology",1976,"APAC",210966,"A-","A-","Public Company",2707.3,11.83,30987.2,11481,4405,2599,2150,1796,1387,1062,11749,837,8182,0.663,0.679,1,2813.6,38,2316.01,37
"Equifax Inc. ","NYSE","EFX","Industrials",1899,"US/CA",12700,"BBB","BBB","Public Company",122.4,207.72,30902.6,4923.9,3045.9,1697.1,1162.7,749.9,224.7,1315.9,11040.9,5414,3601.2,6.14,7.74,21,1774.1,19,1213.06,11
